ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	SPOT_ID
16791898	0.007615	3.79e-06	5.85082679	4.16859	4.24e-01	NM_021914	
16728785	0.007615	3.82e-06	5.84723595	4.16066	1.06		TCONS_00019385-XLOC_009208
17062955	0.007615	3.83e-06	-5.84591539	4.15775	-6.33e-01	NR_015431	
16765963	0.007852	4.10e-06	5.81990176	4.1003	6.11e-01	NM_173595	
16846543	0.008525	4.61e-06	5.77438225	3.99959	1.03		ENST00000511361
16850609	0.009584	5.36e-06	5.71593148	3.86991	1.09		ENST00000217652
16683493	0.010182	5.89e-06	5.67984703	3.78966	8.85e-01	NM_152372	
16691333	0.010306	6.15e-06	5.66289389	3.75191	1.19	NM_001232	
16970132	0.010562	6.50e-06	5.64154927	3.70434	1.34	NM_016599	
16817320	0.011725	7.44e-06	5.58971406	3.5886	7.22e-01	NM_001024401	
16954988	0.013612	8.89e-06	5.52107181	3.43491	6.52e-01	NM_205853	
16848318	0.014088	9.46e-06	-5.4970046	3.38092	-7.09e-01	NM_172232	
16759920	0.014746	1.02e-05	5.46890551	3.3178	6.49e-01		TCONS_00020668-XLOC_009974
16905528	0.015244	1.08e-05	-5.44589853	3.26607	-8.12e-01	NM_016953	
16877795	0.015793	1.15e-05	5.42234195	3.21305	8.64e-01	NM_014971	
16869299	0.015823	1.18e-05	5.41189369	3.18952	7.91e-01	NM_013312	
16660745	0.018421	1.44e-05	5.33691335	3.02036	6.97e-01	NM_152372	
17121832	0.018421	1.44e-05	-5.33488286	3.01577	-6.17e-01		--rescue
16857919	0.019628	1.59e-05	-5.29691074	2.92992	-4.77e-01		--normgene->exon
16919072	0.019628	1.61e-05	5.29274105	2.92048	5.66e-01	NM_152503	
17058878	0.019709	1.65e-05	5.28256105	2.89744	8.26e-01	NM_031925	
16899271	0.020059	1.73e-05	-5.26567026	2.85919	-4.60e-01	NM_032779	
16809645	0.020059	1.79e-05	-5.25274633	2.82991	-7.32e-01	NR_030358	
17073565	0.020059	1.80e-05	5.25112645	2.82624	5.40e-01		ENST00000318911
16774235	0.020438	1.87e-05	5.23608896	2.79215	5.97e-01	NM_014252	
16913014	0.020606	1.94e-05	5.22250457	2.76135	1.30	NM_020884	
16654341	0.020606	1.96e-05	-5.21764305	2.75032	-8.31e-01		--normgene->intron
16713187	0.020683	2.01e-05	5.20879581	2.73024	4.81e-01	NM_003873	
17112729	0.021466	2.12e-05	5.18730492	2.68145	6.27e-01		ENST00000372902
16702254	0.021611	2.18e-05	5.17758985	2.65939	7.89e-01		TCONS_00017779-XLOC_008373
16848264	0.022251	2.28e-05	-5.1594289	2.61812	-6.74e-01	NM_080282	
16890675	0.022549	2.36e-05	5.14747114	2.59094	5.36e-01	NM_000597	
16681827	0.022603	2.43e-05	-5.13576898	2.56432	-4.97e-01	NM_004753	
16900124	0.022603	2.45e-05	-5.13315068	2.55837	-7.65e-01		ENST00000480492
16790360	0.02428	2.67e-05	-5.09930037	2.48133	-5.10e-01	NR_003029	
16801674	0.024529	2.74e-05	-5.08899818	2.45787	-4.82e-01		ENST00000558572
17118704	0.024987	2.88e-05	-5.07104233	2.41696	-4.96e-01		--rescue
16937152	0.024987	2.89e-05	5.06942629	2.41328	1.08	NR_024065	
16760668	0.027246	3.20e-05	5.03030338	2.32408	4.70e-01	NM_005768	
16682077	0.030112	3.59e-05	4.98616579	2.22335	7.41e-01	NM_014424	
16912965	0.03035	3.68e-05	4.9772562	2.203	8.70e-01		ENST00000374810
16852218	0.030703	3.78e-05	4.96702636	2.17963	3.79e-01		ENST00000282059
16888349	0.032278	4.03e-05	4.94222288	2.12296	1.03	NM_001080545	
17001879	0.032473	4.12e-05	4.93428951	2.10482	5.89e-01	NM_181776	
16891662	0.034158	4.45e-05	-4.90473649	2.03724	-8.89e-01	NM_000091	
17012036	0.034158	4.46e-05	4.90396933	2.03549	6.64e-01	NM_182645	
16765998	0.034186	4.58e-05	4.89350649	2.01155	6.41e-01		ENST00000546464
16928064	0.034186	4.59e-05	4.89292484	2.01022	4.73e-01	NM_001024939	
16736120	0.03676	5.00e-05	-4.86002333	1.93492	-5.05e-01	NM_017508	
16886677	0.037414	5.16e-05	-4.84812684	1.90769	-6.84e-01	NM_001083112	
17125182	0.038701	5.41e-05	4.83013274	1.86648	6.44e-01		--rescue
16906460	0.039652	5.72e-05	-4.80923383	1.81861	-4.23e-01		ENST00000325795
17069716	0.039652	5.74e-05	-4.80794022	1.81564	-7.77e-01		ENST00000516828
16861997	0.039652	5.77e-05	-4.80595812	1.8111	-8.66e-01	NM_003407	
16812168	0.039988	5.89e-05	4.79789646	1.79263	8.31e-01		ENST00000558192
16896019	0.04101	6.21e-05	4.7780251	1.74709	8.02e-01		ENST00000428036
16794962	0.04101	6.24e-05	4.77609337	1.74266	2.93e-01	BC001448	
17124692	0.04101	6.30e-05	-4.77224374	1.73384	-3.21e-01		--rescue
16857913	0.04101	6.35e-05	-4.76947666	1.7275	-3.31e-01	NM_005968	
16929118	0.041908	6.57e-05	4.75666832	1.69813	5.42e-01	NM_001002837	
17109758	0.043804	7.01e-05	4.73146492	1.64034	7.15e-01	NR_045617	
16748662	0.043804	7.03e-05	4.73086741	1.63897	4.69e-01		ENST00000542401
16691023	0.044487	7.22e-05	4.72057679	1.61537	6.35e-01	NM_003051	
16707503	0.04493	7.41e-05	4.71043261	1.59211	4.13e-01	NM_001013848	
16651329	0.04493	7.46e-05	-4.7081503	1.58687	-1.18		--normgene->intron
16846687	0.045469	7.64e-05	-4.69873763	1.56528	-1.24		ENST00000508540
16825638	0.045469	7.72e-05	-4.69514812	1.55705	-4.45e-01	NM_031477	
16918953	0.046197	7.98e-05	4.6821704	1.52727	4.38e-01	NM_032013	
16722075	0.046197	8.01e-05	4.68082112	1.52418	5.41e-01		ENST00000476130
16820398	0.04626	8.14e-05	-4.67462437	1.50996	-1.05	NM_001076785	
16726311	0.04626	8.20e-05	4.67220112	1.5044	4.81e-01	NM_001243733	
16733150	0.047889	8.57e-05	-4.65503745	1.46501	-2.72e-01	NM_001144874	
16943577	0.048988	8.92e-05	-4.63991906	1.43032	-8.86e-01		ENST00000363491
16854088	0.048988	8.95e-05	4.63854677	1.42717	4.15e-01	NM_001098801	
17020532	0.05279	9.75e-05	4.60621819	1.35297	5.82e-01		chr6(-):64282387-64286786
17069677	0.052991	1.00e-04	-4.59649993	1.33066	-5.85e-01	NM_024790	
16757427	0.052991	1.00e-04	4.59478417	1.32673	4.79e-01	NM_001143819	
17076773	0.052991	1.01e-04	4.59340502	1.32356	3.11e-01	NM_001257180	
17083197	0.054072	1.04e-04	4.58199595	1.29737	8.21e-01	NM_003383	
16702422	0.055581	1.08e-04	-4.56783363	1.26486	-9.79e-01	AK091810	
17093227	0.055689	1.09e-04	4.56344815	1.2548	7.24e-01	NM_001170	
16861318	0.055811	1.11e-04	4.55588505	1.23743	4.19e-01	NM_001083961	
16914213	0.055811	1.11e-04	4.55542947	1.23639	3.68e-01	NM_001048226	
17092208	0.056679	1.15e-04	4.54420624	1.21062	4.09e-01	NM_024896	
16678095	0.056679	1.15e-04	4.54162659	1.2047	7.79e-01		TCONS_00001306-XLOC_000587
17021122	0.056679	1.16e-04	4.53901132	1.1987	3.65e-01	NM_015525	
16778584	0.057853	1.20e-04	-4.52636989	1.16968	-8.53e-01	NM_017993	
16651765	0.057853	1.21e-04	4.52433817	1.16502	1.02		--normgene->intron
17001063	0.058746	1.24e-04	4.51348948	1.14011	5.49e-01	NM_030964	
17118048	0.058746	1.25e-04	4.51175482	1.13613	6.19e-01	AY358688	
16949980	0.0593	1.27e-04	4.50484989	1.12028	5.70e-01	NM_001105573	
16921525	0.061543	1.33e-04	-4.48740475	1.08023	-6.77e-01		ENST00000364942
16770165	0.062751	1.38e-04	4.47401076	1.04949	5.52e-01	NM_000432	
16989977	0.062751	1.38e-04	4.47347737	1.04827	3.66e-01		ENST00000261811
17015771	0.065132	1.45e-04	4.45606242	1.0083	3.74e-01	NM_001031713	
16892918	0.06793	1.52e-04	4.43683004	0.96416	3.80e-01	NM_001137550	
16723058	0.068584	1.56e-04	-4.4274436	0.94262	-6.31e-01	NM_203371	
17124122	0.068584	1.56e-04	4.42687534	0.94131	5.41e-01		--rescue
17113418	0.068635	1.58e-04	4.42208546	0.93032	6.01e-01		ENST00000304758
16954641	0.068635	1.59e-04	4.42039022	0.92643	4.44e-01	NM_033008	
16941042	0.069796	1.63e-04	4.40912193	0.90058	6.55e-01	BC028000	
16993385	0.069796	1.64e-04	-4.40738985	0.8966	-4.65e-01	AK093042	
16683739	0.069796	1.66e-04	4.40226348	0.88484	3.58e-01	NM_000437	
16730308	0.069796	1.67e-04	4.40187709	0.88396	6.21e-01	NM_015036	
17118732	0.071135	1.71e-04	-4.39099996	0.859	-4.28e-01		--rescue
16807905	0.071135	1.73e-04	4.38668851	0.84911	3.93e-01	NM_022473	
16938630	0.071135	1.74e-04	4.38578302	0.84703	5.97e-01	NM_015141	
16652831	0.073632	1.81e-04	-4.36971272	0.81017	-1.24		--normgene->intron
16661031	0.073653	1.83e-04	4.36563211	0.80081	6.98e-01	NM_004455	
16671992	0.073653	1.84e-04	4.36386611	0.79676	5.00e-01	NM_014655	
16859942	0.07535	1.90e-04	4.35233298	0.77032	7.35e-01	NM_178526	
16949537	0.076726	1.95e-04	-4.34169407	0.74592	-8.53e-01	NM_003722	
16963358	0.076726	1.96e-04	4.33980285	0.74158	5.79e-01	NM_152617	
16858122	0.076824	1.98e-04	4.33653724	0.7341	4.48e-01	NM_146388	
16900483	0.078086	2.03e-04	-4.32627337	0.71057	-4.31e-01		--normgene->exon
16735821	0.078086	2.04e-04	4.32482129	0.70724	4.52e-01		--normgene->exon
16824712	0.078209	2.06e-04	4.32149982	0.69962	3.68e-01	NM_017539	
17091502	0.079095	2.09e-04	-4.31449595	0.68357	-5.45e-01		ENST00000371625
16938154	0.080057	2.15e-04	4.3043343	0.66028	6.35e-01	NM_138381	
16717783	0.080057	2.16e-04	-4.30273738	0.65662	-2.97e-01	NM_012215	
16706286	0.080057	2.18e-04	-4.29953367	0.64928	-3.64e-01	NM_144660	
17085379	0.080057	2.18e-04	-4.29926155	0.64866	-3.90e-01	NR_024060	
17125112	0.080634	2.22e-04	4.29266073	0.63353	6.94e-01		--rescue
16651747	0.080634	2.23e-04	4.29131622	0.63045	9.29e-01		--normgene->intron
16746878	0.080651	2.25e-04	-4.28664263	0.61974	-4.16e-01	NM_003324	
16663014	0.080651	2.26e-04	4.28610613	0.61851	3.65e-01	NM_005857	
16867334	0.081192	2.29e-04	4.28100896	0.60684	7.52e-01	NM_001013706	
16923521	0.081952	2.32e-04	4.27483415	0.59269	4.44e-01	NM_004649	
16811249	0.081952	2.34e-04	-4.27152984	0.58512	-3.01e-01	NM_018003	
16914277	0.081952	2.35e-04	4.26992615	0.58145	5.45e-01		TCONS_l2_00016778-XLOC_l2_008639
17011708	0.082528	2.39e-04	-4.26385848	0.56755	-6.64e-01	NM_018593	
16758107	0.082528	2.42e-04	4.25988575	0.55846	5.53e-01	NM_194271	
16708179	0.082528	2.43e-04	4.25809562	0.55436	3.38e-01	NM_015960	
16737260	0.082528	2.43e-04	4.25743821	0.55285	6.17e-01	NM_145804	
16714269	0.083598	2.48e-04	4.25009735	0.53604	3.26e-01	NM_006327	
16844200	0.084843	2.53e-04	4.24204225	0.5176	3.82e-01		ENST00000394231
17012392	0.086827	2.61e-04	4.23081598	0.4919	7.68e-01		ENST00000356698
16848079	0.087025	2.63e-04	4.22740288	0.48409	4.24e-01	NM_017983	
16800921	0.087025	2.65e-04	-4.22521784	0.47909	-5.33e-01		ENST00000267843
16693323	0.08808	2.69e-04	4.21826235	0.46317	4.47e-01	NM_016190	
17121466	0.088271	2.75e-04	-4.20994762	0.44415	-6.03e-01		--rescue
16670499	0.088271	2.79e-04	-4.20548857	0.43395	-3.71e-01	NM_004698	
17109754	0.088271	2.79e-04	4.20448314	0.43165	1.07	NM_153270	
16674841	0.088271	2.80e-04	-4.20392713	0.43038	-5.96e-01		ENST00000457852
16981506	0.088271	2.80e-04	-4.20286702	0.42795	-3.94e-01		ENST00000296503
16929562	0.088271	2.81e-04	-4.20273671	0.42765	-9.65e-01		ENST00000216117
16656257	0.088271	2.82e-04	-4.20143224	0.42467	-7.51e-01		--normgene->intron
16871467	0.088811	2.85e-04	4.19686225	0.41422	8.25e-01	NM_144617	
16679643	0.08986	2.90e-04	-4.19014122	0.39884	-4.16e-01	BC035193	
16947734	0.093391	3.03e-04	4.17288994	0.3594	8.19e-01		TCONS_00005647-XLOC_002908
17094240	0.093391	3.05e-04	4.17096955	0.35501	7.67e-01		TCONS_l2_00029930-XLOC_l2_015170
16917849	0.093618	3.07e-04	4.16785598	0.34789	4.67e-01		ENST00000377103
16687875	0.094727	3.16e-04	-4.15773012	0.32475	-5.63e-01		ENST00000371222
16829688	0.094727	3.16e-04	4.15727206	0.32371	5.59e-01		TCONS_00025273-XLOC_012079
16754783	0.094727	3.19e-04	-4.15369544	0.31553	-3.40e-01		ENST00000248306
16654545	0.094727	3.21e-04	-4.15152439	0.31057	-7.58e-01		--normgene->intron
16836351	0.094727	3.21e-04	4.15149422	0.31051	4.19e-01	NM_001242903	
16887810	0.094727	3.22e-04	4.15028004	0.30773	3.52e-01	NM_016653	
17103067	0.094727	3.26e-04	4.14568643	0.29724	2.55e-01	NM_033018	
16788566	0.094727	3.26e-04	4.14530906	0.29637	4.46e-01		ENST00000515960
16823290	0.094727	3.27e-04	4.14421911	0.29389	7.10e-01	NR_024166	
16901427	0.095624	3.32e-04	4.13853825	0.28091	3.67e-01	NM_001253875	
16996820	0.096212	3.37e-04	-4.13288967	0.26801	-9.85e-01		ENST00000515184
16655057	0.096212	3.37e-04	-4.13208332	0.26617	-7.61e-01		--normgene->intron
16775583	0.096859	3.41e-04	4.12747651	0.25565	6.67e-01		ENST00000384073
17011340	0.097107	3.45e-04	4.12394527	0.24759	4.10e-01	NM_018292	
16748669	0.097107	3.46e-04	4.12245469	0.24418	5.61e-01		ENST00000501178
16987073	0.098085	3.51e-04	4.11660768	0.23084	8.25e-01		TCONS_00010734-XLOC_004458
16769945	0.099172	3.57e-04	4.11038124	0.21662	3.75e-01	NR_026661	
16952990	0.09932	3.59e-04	4.10782408	0.21079	7.70e-01		ENST00000460241
16703834	0.099866	3.63e-04	4.10374647	0.20148	4.91e-01		ENST00000451530
16936648	0.10004	3.67e-04	4.09938317	0.19153	4.94e-01	NR_027928	
16860175	0.10004	3.68e-04	-4.09915861	0.19102	-4.16e-01	NR_027130	
16770915	0.100165	3.70e-04	4.09616161	0.18418	2.66e-01		ENST00000315436
16675889	0.100165	3.73e-04	4.09390353	0.17903	2.85e-01	NM_006335	
16891564	0.100165	3.74e-04	4.09287576	0.17668	5.00e-01	NM_058165	
16938583	0.100722	3.79e-04	4.08758971	0.16463	2.66e-01		ENST00000295770
16667530	0.100722	3.79e-04	-4.08692441	0.16311	-3.57e-01	NM_017734	
16940161	0.100725	3.82e-04	4.08387996	0.15617	1.31	NM_001837	
16716795	0.100725	3.84e-04	4.08211958	0.15215	5.54e-01		ENST00000371247
16977520	0.100725	3.87e-04	4.07893421	0.14489	4.18e-01	NM_015697	
17091746	0.100725	3.88e-04	4.07853978	0.14399	4.88e-01		ENST00000371443
16834395	0.100725	3.89e-04	4.0775198	0.14166	5.82e-01	NM_016437	
17093463	0.100779	3.91e-04	-4.07493372	0.13577	-7.31e-01	NM_001207011	
17065552	0.100779	3.94e-04	4.07233337	0.12984	6.74e-01		TCONS_00014603-XLOC_006704
17084048	0.100779	3.97e-04	4.06911783	0.12251	2.60e-01		TCONS_00015931-XLOC_007302
16939592	0.100779	3.98e-04	4.06880319	0.12179	3.22e-01	NM_001042646	
17121130	0.100779	3.98e-04	-4.06813873	0.12028	-4.75e-01		--rescue
16931339	0.100786	4.00e-04	4.06630556	0.1161	4.37e-01		ENST00000396000
17094471	0.101608	4.06e-04	-4.06138244	0.10488	-3.71e-01	NR_027422	
17071119	0.101632	4.08e-04	4.05860272	0.09854	3.05e-01		ENST00000517309
16713877	0.101632	4.09e-04	4.05771318	0.09652	4.20e-01	NM_004962	
16896256	0.102291	4.14e-04	4.05307228	0.08594	2.87e-01	NM_015955	
16804251	0.102291	4.16e-04	4.05168245	0.08278	5.87e-01	NM_020778	
17050591	0.102673	4.19e-04	-4.04849083	0.07551	-3.29e-01	NM_001127500	
16963241	0.104252	4.28e-04	4.0405001	0.05731	9.62e-01	NM_003234	
16908206	0.104252	4.30e-04	-4.03886816	0.05359	-2.79e-01		ENST00000410900
16997141	0.104252	4.32e-04	4.03738621	0.05022	7.27e-01		ENST00000459031
16833082	0.104678	4.39e-04	-4.0307209	0.03504	-2.62e-01	NM_001033568	
17010246	0.104678	4.40e-04	-4.03008791	0.0336	-7.08e-01	NM_001160132	
16771496	0.104678	4.41e-04	4.02885572	0.03079	4.57e-01		--normgene->exon
16697909	0.104678	4.44e-04	4.02696555	0.02649	7.83e-01		ENST00000336092
16874811	0.104678	4.44e-04	4.02616276	0.02466	3.62e-01	NM_001014763	
17123914	0.104678	4.45e-04	4.02555482	0.02328	5.41e-01		--rescue
16651021	0.106416	4.56e-04	-4.01647598	0.00262	-5.41e-01		--normgene->intron
16821083	0.106416	4.56e-04	-4.01585268	0.0012	-3.21e-01	NM_018975	
17047073	0.107131	4.66e-04	-4.00829948	-0.01598	-2.53e-01		ENST00000265753
16845713	0.107131	4.67e-04	-4.00681626	-0.01936	-3.20e-01	NR_036474	
17085359	0.107131	4.68e-04	-4.00591616	-0.02141	-3.75e-01	NR_027421	
16938645	0.107131	4.69e-04	4.0056391	-0.02204	1.30		ENST00000459453
17120468	0.107131	4.70e-04	-4.00499219	-0.02351	-6.68e-01		--rescue
16950238	0.107305	4.72e-04	-4.00272971	-0.02865	-2.24e-01	NM_016302	
16725210	0.107305	4.77e-04	-3.99925477	-0.03656	-5.79e-01	NM_021201	
16830957	0.107305	4.77e-04	3.99895169	-0.03724	4.18e-01	NM_173728	
16707631	0.107305	4.80e-04	-3.9963961	-0.04306	-1.16	NM_016341	
16735366	0.107305	4.83e-04	3.99449014	-0.04739	6.14e-01	NR_073006	
17071208	0.107305	4.86e-04	3.99157026	-0.05403	5.23e-01		ENST00000445593
16873168	0.107305	4.87e-04	3.99090901	-0.05553	4.30e-01		ENST00000330997
16937137	0.107305	4.88e-04	3.99005587	-0.05747	7.08e-01		ENST00000157600
16833454	0.107305	4.88e-04	-3.98988898	-0.05785	-2.70e-01	NM_024835	
16688339	0.107769	4.94e-04	3.98564722	-0.06749	4.11e-01	NM_024911	
17118726	0.107769	4.94e-04	-3.98508007	-0.06878	-3.72e-01		--rescue
17114723	0.108097	4.99e-04	3.98193634	-0.07592	4.38e-01	NM_032417	
16785869	0.108097	5.00e-04	-3.98078592	-0.07854	-2.73e-01		ENST00000553521
17004455	0.108997	5.06e-04	3.97603746	-0.08933	5.26e-01		TCONS_00011257-XLOC_005139
16707882	0.109227	5.09e-04	-3.97368119	-0.09468	-8.29e-01		ENST00000363858
16878397	0.109799	5.16e-04	3.96892601	-0.10548	3.77e-01		TCONS_00004726-XLOC_001406
16982931	0.109799	5.18e-04	3.96710411	-0.10962	4.71e-01	NM_001145161	
16685777	0.109799	5.18e-04	-3.96706775	-0.1097	-8.13e-01		ENST00000384626
16777224	0.110034	5.21e-04	3.96472149	-0.11503	9.88e-01	NM_022459	
16667456	0.112384	5.34e-04	-3.95505298	-0.13699	-3.25e-01	NM_021190	
16758130	0.114173	5.48e-04	3.9452673	-0.1592	7.56e-01		ENST00000330079
16711125	0.114173	5.49e-04	3.94438056	-0.16121	5.34e-01	NM_004508	
17014324	0.114173	5.52e-04	3.94230281	-0.16592	3.08e-01	NM_014161	
16949562	0.114173	5.53e-04	-3.94216265	-0.16624	-7.03e-01	NR_030642	
16872039	0.114173	5.56e-04	3.9398053	-0.17159	2.99e-01	NM_001398	
16914901	0.114173	5.57e-04	-3.93925936	-0.17283	-6.69e-01		ENST00000516845
16920036	0.114173	5.62e-04	3.93559768	-0.18114	7.02e-01		TCONS_00028429-XLOC_013779
16698556	0.114173	5.63e-04	3.93503571	-0.18241	5.73e-01		ENST00000367137
16907696	0.114173	5.64e-04	-3.93431529	-0.18404	-3.24e-01	NM_001080475	
16859773	0.114173	5.64e-04	3.93410538	-0.18452	4.02e-01	NM_032683	
16710906	0.115031	5.71e-04	3.92976164	-0.19437	4.11e-01		ENST00000361518
16792998	0.115885	5.79e-04	-3.92425802	-0.20685	-5.14e-01	NM_020784	
16974280	0.115885	5.79e-04	3.92400936	-0.20742	4.06e-01	NM_017491	
17068462	0.115929	5.85e-04	3.92000634	-0.21649	5.19e-01	NR_033818	
16997519	0.115929	5.86e-04	3.9198286	-0.21689	5.36e-01	NM_000046	
16664978	0.115929	5.89e-04	3.91747811	-0.22222	1.07	NM_147161	
16917892	0.115929	5.92e-04	-3.91532276	-0.22711	-3.95e-01	NM_022080	
16989863	0.115929	5.93e-04	-3.91480615	-0.22828	-7.17e-01	NR_002915	
16688214	0.115929	5.94e-04	-3.91452314	-0.22892	-5.16e-01		TCONS_00000543-XLOC_000863
17012721	0.115929	5.95e-04	-3.91390072	-0.23033	-3.89e-01	NM_004100	
17122360	0.116136	5.98e-04	3.9118095	-0.23507	4.25e-01		--rescue
16698023	0.116363	6.01e-04	3.90965707	-0.23995	4.73e-01		ENST00000367274
16779766	0.116441	6.07e-04	3.90565528	-0.24901	5.26e-01		ENST00000377666
16706128	0.116441	6.08e-04	3.90515544	-0.25014	3.76e-01	NM_203298	
16676263	0.116441	6.11e-04	-3.90368316	-0.25348	-4.28e-01	NM_001174108	
16688210	0.116441	6.11e-04	-3.90340971	-0.2541	-4.39e-01	NR_037443	
16748095	0.116441	6.12e-04	3.90248221	-0.2562	3.80e-01	NM_005810	
16705976	0.116752	6.16e-04	3.90007995	-0.26164	3.95e-01	NM_138357	
16996249	0.11796	6.26e-04	3.89399007	-0.27543	3.39e-01		TCONS_00010337-XLOC_004826
16705961	0.11796	6.27e-04	-3.89337615	-0.27682	-7.68e-01	NM_019058	
16973914	0.118241	6.31e-04	-3.89110242	-0.28197	-3.62e-01		ENST00000515487
16845222	0.118244	6.33e-04	-3.88974106	-0.28505	-2.52e-01	NM_001991	
16984182	0.119264	6.41e-04	-3.88507368	-0.29562	-8.97e-01		ENST00000513039
16941344	0.120869	6.53e-04	3.87753707	-0.31267	5.66e-01	NM_000688	
16805594	0.120869	6.54e-04	-3.87721987	-0.31339	-2.53e-01		ENST00000354410
17114007	0.122306	6.65e-04	3.87074517	-0.32804	3.07e-01	NM_017413	
16652749	0.122306	6.66e-04	-3.86998564	-0.32975	-7.93e-01		--normgene->intron
16953277	0.122836	6.71e-04	-3.8669856	-0.33654	-6.34e-01		ENST00000362721
17012100	0.123297	6.82e-04	3.8610065	-0.35006	5.11e-01		ENST00000357525
16673241	0.123297	6.82e-04	3.86098292	-0.35011	4.93e-01		ENST00000294818
17012632	0.123297	6.82e-04	3.86084364	-0.35043	5.12e-01	NM_006208	
16664272	0.123297	6.83e-04	3.8602859	-0.35169	3.67e-01		ENST00000311672
16780453	0.12494	6.97e-04	3.85264187	-0.36896	2.34e-01		ENST00000432229
16928634	0.12494	6.97e-04	3.85255663	-0.36916	5.60e-01		TCONS_00029569-XLOC_014199
16739606	0.125685	7.04e-04	-3.84863528	-0.37802	-3.96e-01		ENST00000516552
17063047	0.125685	7.06e-04	3.84766823	-0.3802	4.80e-01	NM_017812	
16700009	0.127308	7.18e-04	-3.84085569	-0.39559	-4.57e-01	NM_152608	
17113340	0.127308	7.22e-04	3.83885875	-0.4001	4.35e-01		ENST00000372054
16924537	0.127308	7.22e-04	3.83885078	-0.40012	2.90e-01	NM_001003703	
16661443	0.127451	7.25e-04	-3.83714381	-0.40397	-4.77e-01	NM_001143912	
17063005	0.128379	7.33e-04	3.83306012	-0.41319	4.94e-01		ENST00000359827
16847834	0.128782	7.37e-04	-3.83058069	-0.41879	-3.82e-01		--normgene->exon
16905355	0.128794	7.40e-04	3.82928134	-0.42172	4.83e-01	NM_001190329	
17126140	0.129052	7.49e-04	-3.8247543	-0.43194	-3.32e-01		--rescue
16757110	0.129052	7.50e-04	3.82388959	-0.43389	5.41e-01		ENST00000547021
16857918	0.129052	7.50e-04	-3.82386819	-0.43394	-2.85e-01		--normgene->exon
16728778	0.129052	7.51e-04	3.82350049	-0.43477	4.91e-01	NM_176072	
16654565	0.130347	7.61e-04	3.81838361	-0.44632	1.28		--normgene->intron
16882416	0.130721	7.66e-04	3.81603513	-0.45161	4.54e-01		ENST00000337109
16928861	0.130828	7.71e-04	3.81346051	-0.45742	4.32e-01	NM_001003684	
16839796	0.130828	7.72e-04	3.81280208	-0.45891	7.82e-01		TCONS_00025531-XLOC_012358
16996234	0.130828	7.73e-04	3.81202575	-0.46066	3.72e-01	NM_003711	
16863460	0.131701	7.81e-04	3.80822134	-0.46924	3.00e-01	NM_006247	
17091695	0.131904	7.85e-04	3.80640393	-0.47333	4.02e-01		ENST00000340384
16782331	0.131976	7.88e-04	3.80497844	-0.47655	5.66e-01		ENST00000557368
16866946	0.135267	8.11e-04	3.79382491	-0.50168	3.80e-01	NM_012458	
16707929	0.135267	8.12e-04	3.79299208	-0.50356	2.76e-01	NM_001170765	
17088995	0.135679	8.17e-04	3.79060441	-0.50894	7.47e-01	NR_029611	
17015972	0.136008	8.22e-04	3.78846272	-0.51376	5.40e-01	NM_198586	
17113031	0.136701	8.36e-04	3.78193827	-0.52846	4.78e-01	NM_016370	
16921472	0.136701	8.36e-04	3.78172858	-0.52893	6.07e-01		ENST00000302092
